frequency,voltages
995,8.58452e-06
995,8.76054e-06
995,9.17359e-06
995,8.01549e-06
995,1.0836e-06
995,4.17189e-06
995,4.29529e-06
995,5.72068e-06
995,1.05706e-05
995,5.50321e-06
1995,5.45759e-07
1995,1.58419e-06
1995,1.49478e-06
1995,1.30013e-06
1995,1.13017e-06
1995,1.04309e-07
1995,7.90231e-07
1995,1.46824e-06
1995,2.5239e-07
1995,1.95626e-06
2995,4.43311e-07
2995,8.13514e-07
2995,8.00475e-07
2995,7.24573e-07
2995,1.22004e-07
2995,7.36214e-07
2995,1.28058e-06
2995,5.19216e-07
2995,6.21196e-07
2995,8.48904e-07
3995,5.88134e-07
3995,3.62286e-07
3995,2.37488e-08
3995,1.69036e-07
3995,2.319e-07
3995,5.0478e-07
3995,3.50645e-07
3995,3.78584e-07
3995,4.48434e-07
3995,3.18048e-07
4995,1.23401e-07
4995,7.48321e-07
4995,5.36445e-07
4995,3.80913e-07
4995,9.08509e-07
4995,1.31317e-07
4995,8.84294e-07
4995,7.28764e-07
4995,6.51464e-07
4995,2.30969e-07
5995,5.19216e-07
5995,8.19568e-08
5995,4.20028e-07
5995,2.33763e-07
5995,2.59841e-07
5995,4.34464e-07
5995,3.14789e-07
5995,1.56463e-07
5995,5.1223e-09
5995,7.31093e-08
6995,9.4064e-08
6995,4.79169e-07
6995,9.87206e-08
6995,1.546e-07
6995,3.57164e-07
6995,5.68576e-07
6995,2.58909e-07
6995,1.57394e-07
6995,2.41214e-07
6995,3.02216e-07
7995,1.22935e-07
7995,2.80796e-07
7995,2.72879e-07
7995,5.38308e-07
7995,4.04196e-07
7995,7.96285e-08
7995,2.39352e-07
7995,6.44945e-07
7995,7.40871e-07
7995,1.41562e-07
8995,2.23519e-08
8995,2.3842e-07
8995,1.62051e-07
8995,1.60654e-07
8995,1.66708e-07
8995,1.66708e-07
8995,1.01049e-07
8995,2.1793e-07
8995,8.75448e-08
8995,3.67875e-08
9995,1.99304e-07
9995,8.28882e-08
9995,2.18862e-08
9995,8.19568e-08
9995,8.28882e-08
9995,1.16416e-08
9995,1.59257e-07
9995,3.72532e-09
9995,2.42145e-08
9995,3.57164e-07
10000,2.64497e-07
10000,2.33297e-07
10000,5.96051e-08
10000,6.19334e-08
10000,1.39234e-07
10000,7.0781e-08
10000,8.61478e-08
10000,1.69967e-07
10000,6.00708e-08
10000,3.30622e-08
20000,7.15259e-07
20000,1.1921e-07
20000,8.94074e-08
20000,1.78815e-07
20000,7.45063e-08
20000,5.96051e-08
20000,4.47037e-08
20000,7.45063e-08
20000,2.98025e-08
20000,9.6858e-08
30000,1.1921e-07
30000,3.79981e-07
30000,2.90574e-07
30000,2.30969e-07
30000,1.86265e-07
30000,2.01167e-07
30000,1.78815e-07
30000,1.34111e-07
30000,0.0
30000,2.3842e-07
40000,1.43052e-06
40000,1.43052e-06
40000,7.15259e-07
40000,4.76841e-07
40000,9.53682e-07
40000,4.76841e-07
40000,2.3842e-07
40000,0.0
40000,2.3842e-07
40000,0.0
50000,3.5763e-07
50000,2.08617e-07
50000,0.0
50000,2.3842e-07
50000,2.3842e-07
50000,8.34469e-07
50000,5.9605e-07
50000,1.1921e-07
50000,1.1921e-07
50000,2.3842e-07
